date,aapl,amzn,goog,tsla
20210616,130.149994,3415.250000,2513.929932,604.869995
20210617,131.789993,3489.239990,2527.419922,616.599976
20210618,130.460007,3486.899902,2511.350098,623.309998
20210621,132.300003,3453.959961,2529.100098,620.830017
20210622,133.979996,3505.439941,2539.989990,623.710022
20210623,133.699997,3503.820068,2529.229980,656.570007
20210624,133.410004,3449.080078,2545.639893,679.820007
20210625,133.110001,3401.459961,2539.899902,671.869995
20210628,134.779999,3443.889893,2536.389893,688.719971
20210629,136.330002,3448.139893,2520.370117,680.760010
20210630,136.960007,3440.159912,2506.320068,679.700012
20210701,137.270004,3432.969971,2527.370117,677.919983
20210702,139.960007,3510.979980,2574.379883,678.900024
20210706,142.020004,3675.739990,2595.419922,659.580017
20210707,144.570007,3696.580078,2601.550049,644.650024
20210708,143.240005,3731.409912,2583.540039,652.809998
20210709,145.110001,3719.340088,2591.489990,656.950012
20210712,144.500000,3718.550049,2611.280029,685.700012
20210713,145.639999,3677.360107,2619.889893,668.539978
20210714,149.149994,3681.679932,2641.649902,653.380005
20210715,148.479996,3631.199951,2625.330078,650.599976
20210716,146.389999,3573.629883,2636.909912,644.219971
20210719,142.449997,3549.590088,2585.080078,646.219971
20210720,146.149994,3573.189941,2622.030029,660.500000
20210721,145.399994,3585.199951,2652.010010,655.289978
20210722,146.800003,3638.030029,2666.570068,649.260010
20210723,148.559998,3656.639893,2756.320068,643.380005
20210726,148.990005,3699.820068,2792.889893,657.619995
20210727,146.770004,3626.389893,2735.929932,644.780029
20210728,144.979996,3630.320068,2727.629883,646.979980
20210729,145.639999,3599.919922,2730.810059,677.349976
20210730,145.860001,3327.590088,2704.419922,687.200012
20210802,145.520004,3331.479980,2719.790039,709.669983
20210803,147.360001,3366.239990,2725.600098,709.739990
20210804,146.949997,3354.719971,2720.570068,710.919983
20210805,147.059998,3375.989990,2738.800049,714.630005
20210806,146.139999,3344.939941,2740.719971,699.099976
20210809,146.089996,3341.870117,2760.040039,713.760010
20210810,145.600006,3320.679932,2761.929932,709.989990
20210811,145.860001,3292.110107,2753.790039,707.820007
20210812,148.889999,3303.500000,2767.790039,722.250000
20210813,149.100006,3293.969971,2768.120117,717.169983
20210816,151.119995,3298.989990,2778.320068,686.169983
20210817,150.190002,3241.959961,2746.010010,665.710022
20210818,146.360001,3201.219971,2731.399902,688.989990
20210819,146.699997,3187.750000,2738.270020,673.469971
20210820,148.190002,3199.949951,2768.739990,680.260010
20210823,149.710007,3265.870117,2821.989990,706.299988
20210824,149.619995,3305.780029,2847.969971,708.489990
20210825,148.360001,3299.179932,2859.000000,711.200012
20210826,147.539993,3316.000000,2842.459961,701.159973
20210827,148.600006,3349.629883,2891.010010,711.919983
